Membership No  Date Joined  Active  
    94400      2020-12-5    no    
    27787      2016-10-6    yes   
    15531      2020-6-13    yes   
    72264      2018-9-5     no    
    96496      2015-5-4     no    
    40820      2018-8-5     yes   
    47798      2018-3-25    yes   
    37949      2019-7-3     no    
    49823      2020-1-23    no    
    81431      2015-9-8     no    
    15849      2019-1-24    no    
    15560      2020-2-20    no    
    14723      2018-1-8     yes   
    40616      2016-6-17    yes   
    42195      2016-10-5    no    
    48137      2018-7-16    yes   
    87614      2016-10-3    yes   
    55663      2015-6-12    yes   
    90380      2015-12-20   yes   
    72561      2016-8-13    yes   
