Membership No  Date Joined  Active  
    42163      2016-10-7    yes   
    97636      2017-1-12    yes   
    83262      2017-1-9     no    
    14637      2020-10-1    no    
    12711      2018-8-7     yes   
    69821      2017-9-12    yes   
    60121      2020-11-13   yes   
    90143      2018-5-25    yes   
    78165      2016-11-22   no    
    51371      2018-9-17    no    
    10842      2018-7-18    no    
    97791      2019-10-8    yes   
    58217      2017-3-5     no    
    60950      2019-2-19    yes   
    28315      2019-6-15    no    
    59913      2016-4-7     no    
    47249      2017-4-17    no    
    95057      2019-4-14    no    
    60754      2015-12-9    yes   
    22436      2017-2-18    no    
